0,1,-0.090639,0.090639
0.01,0.5098,-0,0
0.15,0.17778,-0.051525,0.060699
0.3,0.044444,-0.024404,0.039724
0.45,0.15385,-0.04563,0.054571
0.6,0.425,-0.074299,0.078006
0.75,0.79167,-0.062208,0.054025
0.9,0.97674,-0.03486,0.01524
1.05,0.83721,-0.061658,0.050566
1.2,0.61905,-0.075961,0.072335
1.35,0.32558,-0.067064,0.073216
1.5,0.068182,-0.03211,0.044043
1.65,0.020408,-0.014396,0.029692
1.8,0.34884,-0.068276,0.074008
1.95,0.5814,-0.076385,0.073915
2.1,0.94737,-0.045565,0.028583
2.25,1,-0.028056,0
2.4,0.79592,-0.060447,0.053781
2.55,0.53333,-0.074415,0.071877
2.7,0.19048,-0.054204,0.066037
2.85,0.05,-0.027956,0.042184
3,0.25,-0.063627,0.070641
